,distance,global_stop_id,location_type,parent_station_global_stop_id,route_type,rt_stop_id,stop_code,stop_lat,stop_lon,stop_name,wheelchair_boarding
537,10419,CATAMI:7915,0,,3,4099,4099,42.71177142849474,-84.44516327080342,Mt Hope / Comanche Dr,0
538,11937,CATAMI:10800,0,,3,1938,1938,42.62357508319295,-84.54317120096543,Windmill / Rotterdam,0
539,14906,CATAMI:10218,0,,3,4369,4369,42.70990983540027,-84.53819795951016,Pennsylvania / Kenwood Ave,0
540,20281,CATAMI:7996,0,,3,3756,3756,42.75902171892154,-84.56534844043868,Grand River / MLK Access,0
541,15904,CATAMI:9907,0,,3,1806,1806,42.70659134336231,-84.5568858360817,Washington / Kensington R,0
542,14856,CATAMI:9772,0,,3,6105,6105,42.73332813693651,-84.50346620815343,Michigan / Morgan,0
543,10798,CATAMI:7940,0,,3,1706,1706,42.71994625034437,-84.42464078074747,Okemos Meijer,0
544,13527,CATAMI:10690,0,,3,1655,1655,42.73247378261779,-84.47461601179081,Gr. River Ave / Farm Lane,0
545,17927,CATAMI:8140,0,,3,5985,5985,42.77238561910696,-84.4859114752046,Coleman / The Club,0
546,16631,CATAMI:9624,0,,3,6089,6089,42.71196927896855,-84.56259652021208,Mt. Hope / Rundle,0
547,16443,CATAMI:9011,0,,3,2353,2353,42.74672800993535,-84.51126331546214,Chester / Woodruff Ave,0
548,12687,CATAMI:10185,0,,3,5551,5551,42.69930684864481,-84.51490556282089,Stoneleigh / Wabash,0
549,12929,CATAMI:10284,0,,3,4389,4389,42.67773215379634,-84.53808104786654,Pennsylvania / Dennis St,0
550,11007,CATAMI:8852,0,,3,5713,5713,42.69000787637582,-84.49867283076524,Collins / Dunckel,0
551,16273,CATAMI:10303,0,,3,3542,3542,42.72844482751479,-84.53788319739273,Pennsylvania / Bement,0
552,21581,CATAMI:10040,0,,3,1855,1855,42.74105329861839,-84.60865071459267,Saginaw / Renker Rd,0
553,17404,CATAMI:10308,0,,3,4479,4479,42.73726716000597,-84.54541950180416,Shiawassee / Larch St,0
554,16383,CATAMI:9859,0,,3,4500,4500,42.69759814000738,-84.57148180512675,Holmes / Sommerset,0
555,16944,CATAMI:9862,0,,3,1761,1761,42.69762511961744,-84.57930589204554,Holmes Rd / Simken Dr,0
556,21291,CATAMI:9960,0,,3,1838,1838,42.74117021026201,-84.60408216728837,Saginaw / Waverly Rd,0
557,18125,CATAMI:8093,0,,3,5731,5731,42.75179118342418,-84.53641730524588,North / Massachusetts,0
